delete the alarm that i just set.	alarm/cancel_alarm
when is the heat index lowest today	weather/find
remind me to go to the movies on saturday night	reminder/set_reminder
tell me what the temperature is in 43017 right now.	weather/find
how cold is it for shanghai in degrees c	weather/find
when is our next snow expected?	weather/find
cancel my alarm that's set for 7 am	alarm/cancel_alarm
turn off all alarms	alarm/cancel_alarm
how bad are the storms going to be later?	weather/find
what's the temperature in london? 	weather/find
set alarms every 5 minutes starting at 6 am	alarm/set_alarm
will i need a coat tomorrow	weather/find
put a fathers day reminder for the 10th	reminder/set_reminder
hey whats the weather going to be for the next three days	weather/find
is it raining in new orleans?	weather/find
i don't want to forget to bake that cake for the party	reminder/set_reminder
what is high for today?	weather/find
is it going to be around 20 degrees f around dehli this weekend	weather/find
i don't want to forget to go to work	reminder/set_reminder
set stove alarm for 40 minutes	alarm/set_alarm
is it around 39 in celcius outside this weekend	weather/find
delete all my reminders.	reminder/cancel_reminder
what is the weather in new york today?	weather/find
how how is it in sydney right now	weather/find
cancel the doctor appointment reminder for thursday at 3 pm	reminder/cancel_reminder
will there be a lot of fog in the morning for the next seven days?	weather/find
what the weather? 	weather/find
how quickly is it supposed to warm up today?	weather/find
any new details on the weather?	weather/find
i don't want to forget to drive to dad's house	reminder/set_reminder
how much rain fall will atlanta get this week?	weather/find
how much will the temperature drop tonight	weather/find
what's the weather looking like in honolulu	weather/find
set a reminder to take my daughter to tumbling every monday	reminder/set_reminder
temperature near new york tomorrow f	weather/find
is it humid today?	weather/find
what time is the alarm set for work	alarm/show_alarms
when is it going to rain in texas	weather/find
set alarm wednesday 4 am	alarm/set_alarm
do i need my umbrella tonight	weather/find
is it supposed to be cold next week	weather/find
remind me at 3pm to close the apartment windows.	reminder/set_reminder
set alarm for 8 years	alarm/set_alarm
set my alarm for 15 minutes.	alarm/set_alarm
will it be sunny in san francisco?	weather/find
how many inches of rain did pensacola florida get today	weather/find
is it hot in miami florida right now?	weather/find
remind me to pick up flowers tomorrow night	reminder/set_reminder
remove all alarms	alarm/cancel_alarm
remind me to go to the bank	reminder/set_reminder
what the weather looks like on this date	weather/find
remind to leave in 30 minutes to pick up kids.	reminder/set_reminder
is thursday to be sunny	weather/find
what's the weather like in the moutains	weather/find
please bot remind me to take my vitamins everyday.	reminder/set_reminder
should i bring my coat today?	weather/find
set the alarm for school tomorrow.	alarm/set_alarm
set an alarm for monday at 11 am	alarm/set_alarm
please tell me when i have 5 minutes left on the alarm	alarm/time_left_on_alarm
what will the weather be like today	weather/find
is it going to be below 48 in c at beijing today	weather/find
remind me to go to bed at 10 pm	reminder/set_reminder
remove my alarm called feed dog	alarm/cancel_alarm
remind me to turn on the stove at 7:45 tonight	reminder/set_reminder
is there snow in the forecast this winter?	weather/find
what is the weather in milwaukee tomorrow	weather/find
what's tomorrows weather going to be like	weather/find
what is the temperature in mexico city?	weather/find
do i need my rain boots? 	weather/find
set alarm for 9 pm.	alarm/set_alarm
what is the weather news for today?	weather/find
whats the temp going to be today	weather/find
shut off all alarms	alarm/cancel_alarm
remind me everyday at 3pm	reminder/set_reminder
tell me tomorrow's high in gilbert, arizona	weather/find
id' like to set an alarm for 6:30pm.	alarm/set_alarm
when does my alarm to take my allergy medication go off	alarm/show_alarms
should i wear my winter coat?	weather/find
all day weather forecast	weather/find
cancel all my alarms on wednesday.	alarm/cancel_alarm
remind me to get gas when my tank is close to empty.	reminder/set_reminder
how much time is left before the alarm goes off?	alarm/time_left_on_alarm
please show all of the alarms for sunday	alarm/show_alarms
ten day forecast please 	weather/find
whats today's forecast?	weather/find
remind me to check the front door in 2 hours	reminder/set_reminder
remind me to go to the doctor	reminder/set_reminder
remind me to take my medication every day	reminder/set_reminder
set an alarm in 3 hours to wake me up	alarm/set_alarm
set a reminder to pay my phone bill	reminder/set_reminder
remove alarm for today	alarm/cancel_alarm
what are the reminders for tomorrow?	reminder/show_reminders
show me my reminder's for next week.	reminder/show_reminders
remove all scheduled alarms.	alarm/cancel_alarm
is there hail predicted today	weather/find
remind me of dentist appointment on monday, 9am	reminder/set_reminder
what is my reminder for next wednesday?	reminder/show_reminders
how much snow is forecasted for tonight?	weather/find
set alarm for seven and seven fifteen	alarm/set_alarm
cancel my doctor appointment reminder.	reminder/cancel_reminder
what's this weekends forecast	weather/find
what's the weather like in nyc this weekend?	weather/find
reminds me to have coffee with sandy next sunday morning	reminder/set_reminder
set an alarm to go off every 2 hours this afternoon.  	alarm/set_alarm
how is the weather in chicago today	weather/find
remind me to call kelly when i get home	reminder/set_reminder
is there rain in next week's forecast?	weather/find
will there be any flooding from the rain?	weather/find
what will the temperature be on sunday?	weather/find
reset all the alarms	alarm/set_alarm
is it windy outside	weather/find
start the alarm at six pm	alarm/set_alarm
is it going to snow monday	weather/find
remind me i am volunteering at 8am tomorrow	reminder/set_reminder
cancel all reminders for today.	reminder/cancel_reminder
can i wear a sweatshirt tonight	weather/find
set alarm for tomorrow at 7am	alarm/set_alarm
when will it start raining today?	weather/find
remind me to change dentist appointment tomorrow morning	reminder/set_reminder
please remind me to take my medication.	reminder/set_reminder
when is it going to rain again?	weather/find
give me the hourly forecast for overnight.	weather/find
set a reminder for tonight's meteor shower	reminder/set_reminder
set a weekly alarm	alarm/set_alarm
how much time do i have until my alarm rings?	alarm/time_left_on_alarm
delete friday's alarm	alarm/cancel_alarm
show me the rest of the reminders i have for today	reminder/show_reminders
clear all reminders	reminder/cancel_reminder
set alarm for 2 hours.	alarm/set_alarm
is it going to rain this afternoon?	weather/find
set alarm for 2 hours from now	alarm/set_alarm
show all reminders this month	reminder/show_reminders
set a reminder for the doctor	reminder/set_reminder
delete wake up alarm	alarm/cancel_alarm
is it going to be super hot today	weather/find
create an alarm for david's 11 am saturday group.	alarm/set_alarm
show me my alarm for tomorrow	alarm/show_alarms
what temp will is be in washington dc this week	weather/find
will it snow this evening?	weather/find
how cold is it tomorrow morning near karachi in celsius	weather/find
temperature dublin today celsius	weather/find
i dont need my alarms tomorrow	alarm/cancel_alarm
when did i set a reminder for dog sitting	reminder/show_reminders
set new alarm for 5am	alarm/set_alarm
how cold is it tonight in degrees c	weather/find
what is the weather going to be like next week in michigan	weather/find
is it expected to hail today?	weather/find
set a reminder for girlfriends birthday	reminder/set_reminder
cancel all the alarms i have set for saturday.	alarm/cancel_alarm
set alarms for the week at 8am	alarm/set_alarm
set alarm for every 6 hours 	alarm/set_alarm
is the weather good enough to go the pool. 	weather/find
please show the current weather	weather/find
should i take a jacket today	weather/find
are there any heat advisories out for our area this week?	weather/find
cancel alarms please.	alarm/cancel_alarm
what is the weather forecast for the remainder of the month in los angeles?	weather/find
should i turn on my air conditioner today?	weather/find
are storms in the forecast for this afternoon	weather/find
when is it going to 90 degrees	weather/find
what will the weather be on friday in louisville	weather/find
what is sunday's forecast?	weather/find
remind me of my date at 6 pm tomorrow	reminder/set_reminder
update me on the weather	weather/find
delete all alarms please	alarm/cancel_alarm
turn off all alarms this week.	alarm/cancel_alarm
how many days will it be over 100 degrees this week	weather/find
when does the sunset today ?	weather/checkSunset
will we get 2 inches of snow today	weather/find
will it be overcast all day today in l.a.?	weather/find
remind me about my doctors appointment on wednesday	reminder/set_reminder
are there any weather alerts in my area	weather/find
will the rain be over for a few days	weather/find
set an alarm for 10:30 on mondays and wednesdays	alarm/set_alarm
is there wind today?	weather/find
what's the weather going to be on new years eve?	weather/find
will it be raining next week?	weather/find
what's the weather like right now?	weather/find
show me the current forecast for my area	weather/find
what's the weather in 90210?	weather/find
weather report, please	weather/find
temperature dublin c	weather/find
please delete my 9:30pm alarm	alarm/cancel_alarm
i need an alarm every 5 minutes from 3:40 until 4:00	alarm/set_alarm
is it above 46 celsius near london tomorrow morning	weather/find
remind me to wake up early on august 5th	reminder/set_reminder
please tell me what the temperature is in mobile, al right now	weather/find
cancel 10 am alarm 	alarm/cancel_alarm
should i take a jacket with me	weather/find
remind me about work starting in an hour	reminder/set_reminder
set alarm for 1:00 pm tomorrow afternoon,	alarm/set_alarm
do i need to take an umbrella or sunscreen today?	weather/find
set alarm for 7 am every other day	alarm/set_alarm
what is the humidity today? 	weather/find
set medication alarm for 9 pm	alarm/set_alarm
delete the alarm for yesterday morning	alarm/cancel_alarm
remind me to do the laundry	reminder/set_reminder
is the weekend getting any cooler 	weather/find
delete all alarms for today	alarm/cancel_alarm
am i going to need an umbrella tonight?	weather/find
what will the weather be like at 3 pm tomorrow in robertsdale, al?	weather/find
remind me to buy butter at the store tonight	reminder/set_reminder
it is going to be foggy tomorrow morning?	weather/find
should i wear sunglasses? 	weather/find
how many hours until my alarm?	alarm/time_left_on_alarm
schedule alarms for 5am and 6am	alarm/set_alarm
how is the weather looking for vacation	weather/find
when is the coldest time tonight	weather/find
create an alarm for 7:00 am tomorrow and a reminder for the same time to take an umbrella	alarm/set_alarm
is it snowing in denver right now?	weather/find
set alarms for 5pm	alarm/set_alarm
show me my reminders for tomorrow	reminder/show_reminders
add reminder to go grocery shopping friday	reminder/set_reminder
cancel the alarm for 2:30 am tomorrow.	alarm/cancel_alarm
its not sunny outside will it rain?	weather/find
i need to know the latest forecast for half moon bay	weather/find
